Campus,Building,BuildingName,Building Long Name,Address,Latitude,Longitude,Polygon Coordinates
SGW,FB,FB Building,Faubourg Building,1250 Guy Street,45.494666,-73.577603,"[[-73.5780177, 45.4946786], [-73.5775911, 45.4944394], [-73.5774884, 45.4943818], [-73.5771989, 45.4946349], [-73.577282, 45.4946797], [-73.5772886, 45.4946736], [-73.57736, 45.4947154], [-73.5773687, 45.4947081], [-73.5774421, 45.494752], [-73.5774502, 45.4947451], [-73.5775203, 45.4947858], [-73.577528, 45.4947776], [-73.577598, 45.4948208], [-73.5776061, 45.4948133], [-73.577678, 45.4948613], [-73.5776899, 45.4948539], [-73.5777612, 45.4948923], [-73.5778026, 45.4948598], [-73.5778264, 45.4948398], [-73.5778474, 45.4948522], [-73.5779622, 45.4947542], [-73.5779414, 45.4947429], [-73.5780177, 45.4946786]]"
LOY,FC,FC Building,F.C. Smith Building,7141 Sherbrooke West,45.458493,-73.639287,"[[-73.6390384691037, 45.45838194827393], [-73.63907076867876, 45.45839251355503], [-73.63905534597693, 45.45841485486578], [-73.6390861913806, 45.45842708379005], [-73.63910060825405, 45.45841085694768], [-73.6391549229866, 45.45843061136385], [-73.63916028740464, 45.45842520241727], [-73.6391810745245, 45.45843155205017], [-73.63919180336056, 45.45841838244038], [-73.63925517054854, 45.45844284028471], [-73.63924779447375, 45.45845671540321], [-73.63928869816122, 45.45847247188957], [-73.63929171564637, 45.458469179489796], [-73.63930445613919, 45.458474588432175], [-73.63930244448242, 45.45847835117441], [-73.6393507242447, 45.45849645936782], [-73.63935374172983, 45.45849340214078], [-73.63936514111815, 45.45849740005303], [-73.63936279418526, 45.458501397965016], [-73.63940604480563, 45.458518095123765], [-73.6394107386714, 45.458510569644375], [-73.63942213805971, 45.45851409721296], [-73.63944225462733, 45.458486582172135], [-73.63947980555353, 45.45849951659471], [-73.63948215248642, 45.45849763522433], [-73.63951942442304, 45.45851154981018], [-73.63951808331853, 45.45852189734389], [-73.63951372472889, 45.458526835938876], [-73.63953954099065, 45.458535302100664], [-73.63956066338665, 45.45852989316411], [-73.63958647964841, 45.45853906483884], [-73.6395938557232, 45.45855717301275], [-73.63957843302137, 45.45858186596782], [-73.63959586737997, 45.458588921095874], [-73.63959318517095, 45.45860020929888], [-73.63966482833277, 45.458626709299864], [-73.63968192741524, 45.45866433660923], [-73.63962358936917, 45.45874717642955], [-73.63956960991274, 45.45875728874981], [-73.6394955138887, 45.45872977382764], [-73.63948947891842, 45.45873565308567], [-73.63948411450039, 45.458740826832184], [-73.63941986960529, 45.45871683945788], [-73.63941148770212, 45.45872554076151], [-73.63936890763401, 45.45871354707237], [-73.63935918462633, 45.458724129739394], [-73.63935080272316, 45.458722953887595], [-73.63933364375971, 45.458745364360475], [-73.63929441645287, 45.45872937278005], [-73.63931084498309, 45.458707031593875], [-73.63930413946055, 45.45870397437825], [-73.63930246307991, 45.45869809511695], [-73.6393098391547, 45.458688923468074], [-73.6392897225871, 45.45867951664718], [-73.63928871675871, 45.45866987465414], [-73.63929072841547, 45.458667522948296], [-73.63913580321548, 45.45860932668896], [-73.63912708603618, 45.45861920386316], [-73.63909523480413, 45.45862508313269], [-73.63906640105722, 45.45861285425136], [-73.6390573486018, 45.45859051301906], [-73.63905801915405, 45.45858204686556], [-73.63904896669862, 45.45857616759153], [-73.6390486314225, 45.45856887729091], [-73.63905433111665, 45.45856064630518], [-73.63900269859312, 45.45854042159232], [-73.63900169276474, 45.458536894025386], [-73.63901342742918, 45.4585220782418], [-73.63898268782555, 45.45850927765965], [-73.63896491819082, 45.45852973755486], [-73.6389347433394, 45.45851844933774]]"
SGW,FG,FG Building,Faubourg Ste-Catherine Building,1610 Ste-Catherine,45.494381,-73.578425,
SGW,GA,GA Building,Grey Nuns Annex,1211-1215 St-Mathieu,45.494123,-73.57787,"[ [-73.5777445, 45.4943514], [-73.577975, 45.4941217], [-73.5780186, 45.4941474], [-73.5783599, 45.4938505], [-73.5782636, 45.4937941], [-73.5781503, 45.4938898], [-73.5780584, 45.4939674], [-73.5779652, 45.4940462], [-73.5779245, 45.4940806], [-73.5778657, 45.4940548], [-73.5776472, 45.4942764], [-73.5776302, 45.4942936], [-73.5777445, 45.4943514]]"
LOY,GE,GE Building,Centre for Structural and Functional Genomics,7141 Sherbrooke W,45.457017,-73.640432,"[[-73.64062720780782, 45.45687108538196], [-73.64060977344923, 45.45689366247353], [-73.64034825807028, 45.45679770977193], [-73.64016422424295, 45.457039950976636], [-73.64044204482308, 45.457142017867206], [-73.64045143255463, 45.45713072937225], [-73.64056978502741, 45.457174001923924], [-73.64074044057598, 45.456945143117935], [-73.64067103841772, 45.45691762731151], [-73.64068813750019, 45.45689246327163]]"
SGW,GM,GM Building,Guy-De Maisonneuve Building,1550 DeMaisonneuve W,45.495983,-73.578824,"[ [-73.5784181,45.4959562], [-73.5787809,45.4961299], [-73.5789305,45.4959761], [-73.5791217,45.4957789], [-73.5790831,45.4957625], [-73.5790637,45.4957825], [-73.5789688,45.4957386], [-73.5787359,45.4956209], [-73.578729,45.4956265], [-73.578441,45.4959332], [-73.5784181,45.4959562]]"
SGW,GNA,GN Building - wing A,Grey Nuns Building,1190 Guy Street,45.493622,-73.577003,"[ [-73.5764556,45.4939017], [-73.5764991,45.4939225], [-73.5765813,45.4939619], [-73.5765898,45.4939532], [-73.5769125,45.4941078], [-73.5769022,45.4941184], [-73.577056,45.4941921], [-73.5772311,45.4940124], [-73.577242,45.4940177], [-73.5773804,45.4938758], [-73.577477,45.4939222], [-73.5774988,45.4939326], [-73.5775304,45.4939478], [-73.577606,45.4939826], [-73.5775955,45.4939936], [-73.5775767,45.4940131], [-73.5775583,45.4940322], [-73.5775399,45.4940513], [-73.5775205,45.4940714], [-73.5775024,45.4940902], [-73.5774835,45.4941098], [-73.5774611,45.4941331], [-73.577446,45.4941257], [-73.5773912,45.494099], [-73.5773792,45.4941112], [-73.5774266,45.494134], [-73.5774016,45.4941595], [-73.5773574,45.4941383], [-73.5771021,45.4943996], [-73.5764214,45.4940727], [-73.5763978,45.4940969], [-73.5763777,45.4941175], [-73.5763673,45.4941281], [-73.5763591,45.4941242], [-73.5762724,45.4940825], [-73.5762194,45.4941367], [-73.5761696,45.4941127], [-73.5761554,45.4941275], [-73.5762328,45.4941608], [-73.5762179,45.494176], [-73.5762016,45.4941925], [-73.5761261,45.4941568], [-73.5761153,45.4941682], [-73.5760391,45.4941328], [-73.576093,45.4940759], [-73.5760465,45.4940535], [-73.576157,45.4939405], [-73.5757325,45.4937364], [-73.575744,45.4937246], [-73.5757048,45.4937057], [-73.5757992,45.4936096], [-73.5758343,45.4936265], [-73.5758461,45.4936144], [-73.5762743,45.4938213], [-73.5765865,45.4935037], [-73.5765534,45.4934877], [-73.5766243,45.4934157], [-73.5767071,45.4933316], [-73.5767293,45.4933423], [-73.5770308,45.4930362], [-73.5768318,45.4929399], [-73.5768162,45.4929557], [-73.5767858,45.4929605], [-73.5767381,45.4929386], [-73.5767295,45.4929145], [-73.5767387,45.4929053], [-73.576402,45.4927406], [-73.5765438,45.4925981], [-73.5768563,45.492751], [-73.5768761,45.4927607], [-73.5768805,45.4927385], [-73.576931,45.492686], [-73.5769506,45.4926842], [-73.5770326,45.4927224], [-73.5769726,45.4927857], [-73.5769624,45.4927868], [-73.5769659,45.4928028], [-73.5769559,45.492813], [-73.5771509,45.4929068], [-73.5772108,45.4928455], [-73.5772719,45.4928748], [-73.5773129,45.492833], [-73.5773459,45.4928488], [-73.5773781,45.4928643], [-73.5773379,45.4929054], [-73.5774008,45.4929356], [-73.57734,45.4929978], [-73.577553,45.4931003], [-73.5774928,45.4931618], [-73.5774626,45.4931926], [-73.5774275,45.4932285], [-73.5772063,45.4931221], [-73.5771389,45.493191], [-73.5771573,45.4931999], [-73.577032,45.4933279], [-73.5769916,45.4933692], [-73.5769713,45.4933595], [-73.5769006,45.4934317], [-73.5770323,45.4934951], [-73.5770524,45.4934746], [-73.5770733,45.4934846], [-73.5770863,45.4934713], [-73.5771046,45.4934643], [-73.5771263,45.4934637], [-73.5771473,45.4934703], [-73.5771614,45.4934826], [-73.5771673,45.4934969], [-73.5771644,45.4935116], [-73.5771522,45.4935242], [-73.5773088,45.4935989], [-73.5772555,45.4936538], [-73.5772558,45.4936586], [-73.5772704,45.4936582], [-73.5772716,45.4936779], [-73.5772682,45.4936892], [-73.5772625,45.4937005], [-73.5772527,45.4937127], [-73.5772392,45.4937248], [-73.5772241,45.4937357], [-73.5772067,45.493745], [-73.5771821,45.4937508], [-73.5771772,45.4937406], [-73.5771671,45.493743], [-73.577116,45.4937979], [-73.5769559,45.4937246], [-73.5769474,45.4937337], [-73.5769313,45.4937399], [-73.5769137,45.4937418], [-73.5768937,45.4937405], [-73.5768762,45.4937356], [-73.5768623,45.4937264], [-73.5768563,45.4937144], [-73.5768564,45.4937014], [-73.5768581,45.4936928], [-73.5768662,45.4936845], [-73.576848,45.4936758], [-73.5769043,45.4936181], [-73.5767878,45.4935623], [-73.5766433,45.4937106], [-73.576656,45.4937167], [-73.5766436,45.4937294], [-73.5766316,45.4937417], [-73.5765286,45.4938474], [-73.5765149,45.4938408], [-73.5764862,45.4938703], [-73.5764556,45.4939017]]"
SGW,GNB,"GN Building - wings B, C, D, E, F, G, P",Grey Nuns Building,1190 Guy Street,45.493622,-73.577003,"[ [-73.5764556,45.4939017], [-73.5764991,45.4939225], [-73.5765813,45.4939619], [-73.5765898,45.4939532], [-73.5769125,45.4941078], [-73.5769022,45.4941184], [-73.577056,45.4941921], [-73.5772311,45.4940124], [-73.577242,45.4940177], [-73.5773804,45.4938758], [-73.577477,45.4939222], [-73.5774988,45.4939326], [-73.5775304,45.4939478], [-73.577606,45.4939826], [-73.5775955,45.4939936], [-73.5775767,45.4940131], [-73.5775583,45.4940322], [-73.5775399,45.4940513], [-73.5775205,45.4940714], [-73.5775024,45.4940902], [-73.5774835,45.4941098], [-73.5774611,45.4941331], [-73.577446,45.4941257], [-73.5773912,45.494099], [-73.5773792,45.4941112], [-73.5774266,45.494134], [-73.5774016,45.4941595], [-73.5773574,45.4941383], [-73.5771021,45.4943996], [-73.5764214,45.4940727], [-73.5763978,45.4940969], [-73.5763777,45.4941175], [-73.5763673,45.4941281], [-73.5763591,45.4941242], [-73.5762724,45.4940825], [-73.5762194,45.4941367], [-73.5761696,45.4941127], [-73.5761554,45.4941275], [-73.5762328,45.4941608], [-73.5762179,45.494176], [-73.5762016,45.4941925], [-73.5761261,45.4941568], [-73.5761153,45.4941682], [-73.5760391,45.4941328], [-73.576093,45.4940759], [-73.5760465,45.4940535], [-73.576157,45.4939405], [-73.5757325,45.4937364], [-73.575744,45.4937246], [-73.5757048,45.4937057], [-73.5757992,45.4936096], [-73.5758343,45.4936265], [-73.5758461,45.4936144], [-73.5762743,45.4938213], [-73.5765865,45.4935037], [-73.5765534,45.4934877], [-73.5766243,45.4934157], [-73.5767071,45.4933316], [-73.5767293,45.4933423], [-73.5770308,45.4930362], [-73.5768318,45.4929399], [-73.5768162,45.4929557], [-73.5767858,45.4929605], [-73.5767381,45.4929386], [-73.5767295,45.4929145], [-73.5767387,45.4929053], [-73.576402,45.4927406], [-73.5765438,45.4925981], [-73.5768563,45.492751], [-73.5768761,45.4927607], [-73.5768805,45.4927385], [-73.576931,45.492686], [-73.5769506,45.4926842], [-73.5770326,45.4927224], [-73.5769726,45.4927857], [-73.5769624,45.4927868], [-73.5769659,45.4928028], [-73.5769559,45.492813], [-73.5771509,45.4929068], [-73.5772108,45.4928455], [-73.5772719,45.4928748], [-73.5773129,45.492833], [-73.5773459,45.4928488], [-73.5773781,45.4928643], [-73.5773379,45.4929054], [-73.5774008,45.4929356], [-73.57734,45.4929978], [-73.577553,45.4931003], [-73.5774928,45.4931618], [-73.5774626,45.4931926], [-73.5774275,45.4932285], [-73.5772063,45.4931221], [-73.5771389,45.493191], [-73.5771573,45.4931999], [-73.577032,45.4933279], [-73.5769916,45.4933692], [-73.5769713,45.4933595], [-73.5769006,45.4934317], [-73.5770323,45.4934951], [-73.5770524,45.4934746], [-73.5770733,45.4934846], [-73.5770863,45.4934713], [-73.5771046,45.4934643], [-73.5771263,45.4934637], [-73.5771473,45.4934703], [-73.5771614,45.4934826], [-73.5771673,45.4934969], [-73.5771644,45.4935116], [-73.5771522,45.4935242], [-73.5773088,45.4935989], [-73.5772555,45.4936538], [-73.5772558,45.4936586], [-73.5772704,45.4936582], [-73.5772716,45.4936779], [-73.5772682,45.4936892], [-73.5772625,45.4937005], [-73.5772527,45.4937127], [-73.5772392,45.4937248], [-73.5772241,45.4937357], [-73.5772067,45.493745], [-73.5771821,45.4937508], [-73.5771772,45.4937406], [-73.5771671,45.493743], [-73.577116,45.4937979], [-73.5769559,45.4937246], [-73.5769474,45.4937337], [-73.5769313,45.4937399], [-73.5769137,45.4937418], [-73.5768937,45.4937405], [-73.5768762,45.4937356], [-73.5768623,45.4937264], [-73.5768563,45.4937144], [-73.5768564,45.4937014], [-73.5768581,45.4936928], [-73.5768662,45.4936845], [-73.576848,45.4936758], [-73.5769043,45.4936181], [-73.5767878,45.4935623], [-73.5766433,45.4937106], [-73.576656,45.4937167], [-73.5766436,45.4937294], [-73.5766316,45.4937417], [-73.5765286,45.4938474], [-73.5765149,45.4938408], [-73.5764862,45.4938703], [-73.5764556,45.4939017]]"
SGW,GNH,"GN Building - wings H, I, J, K",Grey Nuns Building,1190 Guy Street,45.493622,-73.577003,"[ [-73.5764556,45.4939017], [-73.5764991,45.4939225], [-73.5765813,45.4939619], [-73.5765898,45.4939532], [-73.5769125,45.4941078], [-73.5769022,45.4941184], [-73.577056,45.4941921], [-73.5772311,45.4940124], [-73.577242,45.4940177], [-73.5773804,45.4938758], [-73.577477,45.4939222], [-73.5774988,45.4939326], [-73.5775304,45.4939478], [-73.577606,45.4939826], [-73.5775955,45.4939936], [-73.5775767,45.4940131], [-73.5775583,45.4940322], [-73.5775399,45.4940513], [-73.5775205,45.4940714], [-73.5775024,45.4940902], [-73.5774835,45.4941098], [-73.5774611,45.4941331], [-73.577446,45.4941257], [-73.5773912,45.494099], [-73.5773792,45.4941112], [-73.5774266,45.494134], [-73.5774016,45.4941595], [-73.5773574,45.4941383], [-73.5771021,45.4943996], [-73.5764214,45.4940727], [-73.5763978,45.4940969], [-73.5763777,45.4941175], [-73.5763673,45.4941281], [-73.5763591,45.4941242], [-73.5762724,45.4940825], [-73.5762194,45.4941367], [-73.5761696,45.4941127], [-73.5761554,45.4941275], [-73.5762328,45.4941608], [-73.5762179,45.494176], [-73.5762016,45.4941925], [-73.5761261,45.4941568], [-73.5761153,45.4941682], [-73.5760391,45.4941328], [-73.576093,45.4940759], [-73.5760465,45.4940535], [-73.576157,45.4939405], [-73.5757325,45.4937364], [-73.575744,45.4937246], [-73.5757048,45.4937057], [-73.5757992,45.4936096], [-73.5758343,45.4936265], [-73.5758461,45.4936144], [-73.5762743,45.4938213], [-73.5765865,45.4935037], [-73.5765534,45.4934877], [-73.5766243,45.4934157], [-73.5767071,45.4933316], [-73.5767293,45.4933423], [-73.5770308,45.4930362], [-73.5768318,45.4929399], [-73.5768162,45.4929557], [-73.5767858,45.4929605], [-73.5767381,45.4929386], [-73.5767295,45.4929145], [-73.5767387,45.4929053], [-73.576402,45.4927406], [-73.5765438,45.4925981], [-73.5768563,45.492751], [-73.5768761,45.4927607], [-73.5768805,45.4927385], [-73.576931,45.492686], [-73.5769506,45.4926842], [-73.5770326,45.4927224], [-73.5769726,45.4927857], [-73.5769624,45.4927868], [-73.5769659,45.4928028], [-73.5769559,45.492813], [-73.5771509,45.4929068], [-73.5772108,45.4928455], [-73.5772719,45.4928748], [-73.5773129,45.492833], [-73.5773459,45.4928488], [-73.5773781,45.4928643], [-73.5773379,45.4929054], [-73.5774008,45.4929356], [-73.57734,45.4929978], [-73.577553,45.4931003], [-73.5774928,45.4931618], [-73.5774626,45.4931926], [-73.5774275,45.4932285], [-73.5772063,45.4931221], [-73.5771389,45.493191], [-73.5771573,45.4931999], [-73.577032,45.4933279], [-73.5769916,45.4933692], [-73.5769713,45.4933595], [-73.5769006,45.4934317], [-73.5770323,45.4934951], [-73.5770524,45.4934746], [-73.5770733,45.4934846], [-73.5770863,45.4934713], [-73.5771046,45.4934643], [-73.5771263,45.4934637], [-73.5771473,45.4934703], [-73.5771614,45.4934826], [-73.5771673,45.4934969], [-73.5771644,45.4935116], [-73.5771522,45.4935242], [-73.5773088,45.4935989], [-73.5772555,45.4936538], [-73.5772558,45.4936586], [-73.5772704,45.4936582], [-73.5772716,45.4936779], [-73.5772682,45.4936892], [-73.5772625,45.4937005], [-73.5772527,45.4937127], [-73.5772392,45.4937248], [-73.5772241,45.4937357], [-73.5772067,45.493745], [-73.5771821,45.4937508], [-73.5771772,45.4937406], [-73.5771671,45.493743], [-73.577116,45.4937979], [-73.5769559,45.4937246], [-73.5769474,45.4937337], [-73.5769313,45.4937399], [-73.5769137,45.4937418], [-73.5768937,45.4937405], [-73.5768762,45.4937356], [-73.5768623,45.4937264], [-73.5768563,45.4937144], [-73.5768564,45.4937014], [-73.5768581,45.4936928], [-73.5768662,45.4936845], [-73.576848,45.4936758], [-73.5769043,45.4936181], [-73.5767878,45.4935623], [-73.5766433,45.4937106], [-73.576656,45.4937167], [-73.5766436,45.4937294], [-73.5766316,45.4937417], [-73.5765286,45.4938474], [-73.5765149,45.4938408], [-73.5764862,45.4938703], [-73.5764556,45.4939017]]"
SGW,GNL,"GN Building - wings L, M, N",Grey Nuns Building,1190 Guy Street,45.493622,-73.577003,"[ [-73.5764556,45.4939017], [-73.5764991,45.4939225], [-73.5765813,45.4939619], [-73.5765898,45.4939532], [-73.5769125,45.4941078], [-73.5769022,45.4941184], [-73.577056,45.4941921], [-73.5772311,45.4940124], [-73.577242,45.4940177], [-73.5773804,45.4938758], [-73.577477,45.4939222], [-73.5774988,45.4939326], [-73.5775304,45.4939478], [-73.577606,45.4939826], [-73.5775955,45.4939936], [-73.5775767,45.4940131], [-73.5775583,45.4940322], [-73.5775399,45.4940513], [-73.5775205,45.4940714], [-73.5775024,45.4940902], [-73.5774835,45.4941098], [-73.5774611,45.4941331], [-73.577446,45.4941257], [-73.5773912,45.494099], [-73.5773792,45.4941112], [-73.5774266,45.494134], [-73.5774016,45.4941595], [-73.5773574,45.4941383], [-73.5771021,45.4943996], [-73.5764214,45.4940727], [-73.5763978,45.4940969], [-73.5763777,45.4941175], [-73.5763673,45.4941281], [-73.5763591,45.4941242], [-73.5762724,45.4940825], [-73.5762194,45.4941367], [-73.5761696,45.4941127], [-73.5761554,45.4941275], [-73.5762328,45.4941608], [-73.5762179,45.494176], [-73.5762016,45.4941925], [-73.5761261,45.4941568], [-73.5761153,45.4941682], [-73.5760391,45.4941328], [-73.576093,45.4940759], [-73.5760465,45.4940535], [-73.576157,45.4939405], [-73.5757325,45.4937364], [-73.575744,45.4937246], [-73.5757048,45.4937057], [-73.5757992,45.4936096], [-73.5758343,45.4936265], [-73.5758461,45.4936144], [-73.5762743,45.4938213], [-73.5765865,45.4935037], [-73.5765534,45.4934877], [-73.5766243,45.4934157], [-73.5767071,45.4933316], [-73.5767293,45.4933423], [-73.5770308,45.4930362], [-73.5768318,45.4929399], [-73.5768162,45.4929557], [-73.5767858,45.4929605], [-73.5767381,45.4929386], [-73.5767295,45.4929145], [-73.5767387,45.4929053], [-73.576402,45.4927406], [-73.5765438,45.4925981], [-73.5768563,45.492751], [-73.5768761,45.4927607], [-73.5768805,45.4927385], [-73.576931,45.492686], [-73.5769506,45.4926842], [-73.5770326,45.4927224], [-73.5769726,45.4927857], [-73.5769624,45.4927868], [-73.5769659,45.4928028], [-73.5769559,45.492813], [-73.5771509,45.4929068], [-73.5772108,45.4928455], [-73.5772719,45.4928748], [-73.5773129,45.492833], [-73.5773459,45.4928488], [-73.5773781,45.4928643], [-73.5773379,45.4929054], [-73.5774008,45.4929356], [-73.57734,45.4929978], [-73.577553,45.4931003], [-73.5774928,45.4931618], [-73.5774626,45.4931926], [-73.5774275,45.4932285], [-73.5772063,45.4931221], [-73.5771389,45.493191], [-73.5771573,45.4931999], [-73.577032,45.4933279], [-73.5769916,45.4933692], [-73.5769713,45.4933595], [-73.5769006,45.4934317], [-73.5770323,45.4934951], [-73.5770524,45.4934746], [-73.5770733,45.4934846], [-73.5770863,45.4934713], [-73.5771046,45.4934643], [-73.5771263,45.4934637], [-73.5771473,45.4934703], [-73.5771614,45.4934826], [-73.5771673,45.4934969], [-73.5771644,45.4935116], [-73.5771522,45.4935242], [-73.5773088,45.4935989], [-73.5772555,45.4936538], [-73.5772558,45.4936586], [-73.5772704,45.4936582], [-73.5772716,45.4936779], [-73.5772682,45.4936892], [-73.5772625,45.4937005], [-73.5772527,45.4937127], [-73.5772392,45.4937248], [-73.5772241,45.4937357], [-73.5772067,45.493745], [-73.5771821,45.4937508], [-73.5771772,45.4937406], [-73.5771671,45.493743], [-73.577116,45.4937979], [-73.5769559,45.4937246], [-73.5769474,45.4937337], [-73.5769313,45.4937399], [-73.5769137,45.4937418], [-73.5768937,45.4937405], [-73.5768762,45.4937356], [-73.5768623,45.4937264], [-73.5768563,45.4937144], [-73.5768564,45.4937014], [-73.5768581,45.4936928], [-73.5768662,45.4936845], [-73.576848,45.4936758], [-73.5769043,45.4936181], [-73.5767878,45.4935623], [-73.5766433,45.4937106], [-73.576656,45.4937167], [-73.5766436,45.4937294], [-73.5766316,45.4937417], [-73.5765286,45.4938474], [-73.5765149,45.4938408], [-73.5764862,45.4938703], [-73.5764556,45.4939017]]"
